Export Settings,Export Settings
Entity Type,Entity Type
Export File Format,Export File Format
There is no sample file for this entity.,There is no sample file for this entity.
Cannot download sample file,Cannot download sample file
Import Categories,Import Categories
Export Categories,Export Categories
Invalid Category Path,Invalid Category Path
Invalid Parent ID,Invalid Parent ID
Url key is existing,Url key is existing
Empty category name,Empty category name
Category ID is not exist,Category ID is not exist
Wrong format in column custom_design_from or custom_design_to,Wrong format in column custom_design_from or custom_design_to
-- Please Select --,-- Please Select --
Entity Attributes,Entity Attributes
Export Related SKUs ,Export Related SKUs 
Export By ,Export By 
All,All
Store ID,Store ID
Category ID,Category ID
Choose Store,Choose Store
Input Category Id,Input Category Id
Continue,Continue
