Customers Also Bought Configuration,Customers Also Bought Configuration
Enabled,Enabled
Yes,Yes
No,No
Block Title,Block Title
Only Show Products from Same Category,Only Show Products from Same Category
Limit Number of Products to Be Shown,Limit Number of Products to Be Shown
Display as,Display as
Grid,Grid
Slider,Slider
Number of Products per Slider,Number of Products per Slider
Sort by,Sort by
Random,Random
Product Name (A-Z),Product Name (A-Z)
Product Name (Z-A),Product Name (Z-A)
Product Price (High-Low),Product Price (High-Low)
Product Price (Low-High),Product Price (Low-High)
Ordered Quantity of Product (High-Low),Ordered Quantity of Product (High-Low)
Frequently Bought Together,Frequently Bought Together
Viewed Times of Product,Viewed Times of Product
Replace Up-sell Product List,Replace Up-sell Product List
Show In Stock Products Only,Show In Stock Products Only
Enable Add to Cart Button,Enable Add to Cart Button
Enable Add to Wishlist,Enable Add to Wishlist
Enable Add to Compare,Enable Add to Compare
Enable Reviews Link,Enable Reviews Link
Customers Also Viewed Configuration,Customers Also Viewed Configuration
